FRName,BugURL,IssueTitle,Type,Status,Priority,Resolution,Affects Version/s,Fix Version/s,Component/s,Description
CXF-278,"https://issues.apache.org/jira/browse/CXF-278
",Confguration of the server transport engine bean at the individual port level,Improvement,CLOSED,Critical,Fixed,2.0-M1,2.0-M1,Transports,"We need the configuration can applied at the server engine level for a given port, for example :
<bean name=""org.apache.cxf.transport.http.JettyHTTPServerEngine.${http.port}"" abstract=""true""/>
org.apache.cxf.transport.http.JettyHTTPServerEngine is the bean name of the engine, ${http.port} is the specific port. This is useful when there're multiple types of providers listening on the same port and one wants to apply, say, sslServer properties to all providers. This functionality was available in Celtix, the bean name was different though."
CXF-7568,"https://issues.apache.org/jira/browse/CXF-7568
",Support JWE PBES encryption,Improvement,CLOSED,Major,Fixed,None,"3.2.2, 3.1.15",None,This task is to support JWE PBES encryption via the interceptors.
CXF-6800,"https://issues.apache.org/jira/browse/CXF-6800
",add http-undertow transport,New Feature,CLOSED,Major,Fixed,None,3.2.0,None,"As in Apache Camel there's already a camel-undertow component and in the upcoming Karaf 4.1(which will use OPS4J PAX-WEB 6), there's also an undertow http-osgi service implementation, so I think it should be good in CXF we also has a http-undertow(the counterpart of current http-jetty) transport so that end user has more option to chose the http transport they wanna use"
CXF-6622,"https://issues.apache.org/jira/browse/CXF-6622
",Enhance Failover Feature to support Circuit Breaker pattern,New Feature,CLOSED,Major,Fixed,None,3.2.0,None,"The interest in supporting Netflix Hystrix in CXF grows. Having a quality circuit breaker failover feature/selector (not necessarily Hystrix based) would be great
Spring-based configuration is going to support new circuit-breaker-failover feature:
<clustering:circuit-breaker-failover threshold="".."" timeout="".."">
    <clustering:strategy>...</clustering:strategy>
</clustering:circuit-breaker-failover>
Documentation:
https://cwiki.apache.org/confluence/display/CXF20DOC/JAX-RS+Failover
https://cwiki.apache.org/confluence/display/CXF20DOC/FailoverFeature
https://cwiki.apache.org/confluence/display/CXF20DOC/Using+CXF+and+Failover+in+OSGi+environment
Samples:
distribution\src\main\release\samples\clustering
OSGi blueprint sample:
distribution\src\main\release\samples\clustering\failover_jaxws_osgi"
CXF-4209,"https://issues.apache.org/jira/browse/CXF-4209
",Server side message redelivery support for WS-RM,New Feature,CLOSED,Major,Fixed,None,3.2.0,WS-* Components,"Currently, when a WS-RM message reaches the RM-Destination at the server side but not the service itself, there is no mechanism to redeliver this message to the service. There is also no mechanism for redelivering those persisted messages at the RM-Destination to the services when the corresponding destination endpoints are restarted.
A retry mechanism similar to what is available at the RM-Source for message retransmission can be provided at the RM-Destination to enable message redelivery."
CXF-5023,"https://issues.apache.org/jira/browse/CXF-5023
",Implement WS-Eventing from WS-ResourceAccess spec suite,New Feature,CLOSED,Major,Fixed,None,3,WS-* Components,"This is about implementing http://www.w3.org/TR/2011/REC-ws-eventing-20111213/.
Jan Martiska prepared a preliminary implementation [1] that is to be enhanced a bit, but is basically working.
Also evaluate implementing http://www.w3.org/TR/2011/REC-ws-event-descriptions-20111213 .
[1] https://github.com/jmartisk/cxf/commits/jmartisk-devel"
CXF-6837,"https://issues.apache.org/jira/browse/CXF-6837
",Add cache for MessageBodyReader/Writer,Improvement,CLOSED,Major,Fixed,"3.1.5, 3.0.8","3.1.7, 3.2.0",JAX-RS,"CXF selects the msgBodyReader/writer in the reader/writer list for every request, which has big impact to the performance. Jersey also has the cache in org.glassfish.jersey.message.internal.MessageBodyFactory._getMessageBodyReader(...). I have tried add the cache for CXF in ProviderFactory and been proved that it has improved 7-8% for json requests in JMeter. Please let me know if you'd like me to add the enhancement for CXF. Thanks.
http://cxf.547215.n5.nabble.com/MessageBodyReader-Writer-cache-td5767091.html"
CXF-6525,"https://issues.apache.org/jira/browse/CXF-6525
",Support for http://docs.oasis-open.org/wss/oasis-wss-SwAProfile-1.1#Attachment-Content-Only when using WSS-Policy,Improvement,CLOSED,Major,Fixed,3.1.2,"3.1.3, 3.0.7",Core,Support for http://docs.oasis-open.org/wss/oasis-wss-SwAProfile-1.1#Attachment-Content-Only should be possible when using WSS-Policy
CXF-6935,"https://issues.apache.org/jira/browse/CXF-6935
",Better error message than java.lang.NullPointerException - org.apache.cxf.common.util.Compiler.useJava6Compiler(Compiler.java:187) when running on a JRE instead of JDK,Improvement,CLOSED,Major,Fixed,3.1.6,"3.0.10, 3.1.7, 3.2.0",None,"CXF needs a better error message than java.lang.NullPointerException - org.apache.cxf.common.util.Compiler.useJava6Compiler(Compiler.java:187) when running on a JRE instead of JDK.
2016-06-06 10:47:09,902 [qtp16583278-30] ERROR: java.lang.NullPointerException - org.apache.cxf.common.util.Compiler.useJava6Compiler(Compiler.java:187)
java.lang.NullPointerException
                at org.apache.cxf.common.util.Compiler.useJava6Compiler(Compiler.java:187)
                at org.apache.cxf.common.util.Compiler.compileFiles(Compiler.java:141)
                at org.apache.cxf.common.util.Compiler.compileFiles(Compiler.java:136)
                at org.apache.cxf.endpoint.dynamic.DynamicClientFactory.compileJavaSrc(DynamicClientFactory.java:611)
                at org.apache.cxf.endpoint.dynamic.DynamicClientFactory.createClient(DynamicClientFactory.java:370)
                at org.apache.cxf.endpoint.dynamic.DynamicClientFactory.createClient(DynamicClientFactory.java:276)
                at org.apache.cxf.endpoint.dynamic.DynamicClientFactory.createClient(DynamicClientFactory.java:269)
                at org.apache.cxf.endpoint.dynamic.DynamicClientFactory.createClient(DynamicClientFactory.java:204)
The method javax.tools.ToolProvider.getSystemJavaCompiler() is documented to return null if no compiler is provided."
CXF-5792,"https://issues.apache.org/jira/browse/CXF-5792
",WSDLGetUtils Customization,New Feature,CLOSED,Major,Fixed,None,"2.7.12, 3.0.1",Simple Frontend,"JbossWS requests the ability to customize the published URL of the soap:address
location written to the wsdl file.
We propose doing this by replacing the existing WSDLGetUtils in WSDLGetInterceptor
in the following manner.
for (Endpoint ep : getService().getEndpoints().values()) {
final List<Interceptor<? extends Message>> inList = ep.getInInterceptors();
for (Interceptor<? extends Message> in : inList) {
if (in instanceof WSDLGetInterceptor)
{ ((WSDLGetInterceptor)in).setWsdlGetUtil(new WSDLSoapAddressRewriteUtils()); }
}
}"
