project_name,sub_module,groupId,artifactId,version
cassandra,maven,commons-collections,commons-collections,3.2.1
cassandra,maven,commons-cli,commons-cli,1.1
cassandra,maven,commons-lang,commons-lang,2.4
cassandra,maven,jline,jline,0.9.94
cassandra,maven,log4j,log4j,1.2.15
cassandra,maven,org.slf4j,slf4j-api,1.5.8
cassandra,maven,org.slf4j,slf4j-log4j12,1.5.8
cassandra,maven,org.antlr,antlr-runtime,3.1.3
cassandra,maven,com.google.collections,google-collections,1.0-rc1
cassandra,maven,high-scale-lib,high-scale-lib,UNKNOWN
cassandra,maven,flexjson,flexjson,1.7
cassandra,maven,libthrift,libthrift,UNKNOWN
cassandra,maven,jsonsimple,jsonsimple,UNKNOWN
cassandra,maven,com.reardencommerce,clhm,UNKNOWN
cassandra,maven,junit,junit,4.6
cassandra,maven,commons-collections,commons-collections,3.2.1
cassandra,maven,commons-cli,commons-cli,1.1
cassandra,maven,commons-lang,commons-lang,2.4
cassandra,maven,jline,jline,0.9.94
cassandra,maven,log4j,log4j,1.2.15
cassandra,maven,org.slf4j,slf4j-api,1.5.8
cassandra,maven,org.slf4j,slf4j-log4j12,1.5.8
cassandra,maven,org.antlr,antlr-runtime,3.1.3
cassandra,maven,com.google.collections,google-collections,1.0-rc1
cassandra,maven,high-scale-lib,high-scale-lib,UNKNOWN
cassandra,maven,flexjson,flexjson,1.7
cassandra,maven,libthrift,libthrift,UNKNOWN
cassandra,maven,jsonsimple,jsonsimple,UNKNOWN
cassandra,maven,com.reardencommerce,clhm,UNKNOWN
cassandra,maven,junit,junit,4.6
cassandra,maven,commons-collections,commons-collections,3.2.1
cassandra,maven,commons-cli,commons-cli,1.1
cassandra,maven,commons-lang,commons-lang,2.4
cassandra,maven,jline,jline,0.9.94
cassandra,maven,log4j,log4j,1.2.15
cassandra,maven,org.slf4j,slf4j-api,1.5.8
cassandra,maven,org.slf4j,slf4j-log4j12,1.5.8
cassandra,maven,org.antlr,antlr-runtime,3.1.3
cassandra,maven,com.google.collections,google-collections,1.0-rc1
cassandra,maven,high-scale-lib,high-scale-lib,UNKNOWN
